Unique ID,RA,Dec,Period (day),Period (min),Period error,Aliases,Double lined?,Eclipsing,Verific Binary/ LISA Detectable,Gmag,"Distance (pc, 1/p. bold for literature)",K1 (km/s),K1 error,K2 (km/s),K2 error,M1,M1 error,M2,M2 error,Mtotal,Mtotal error, Ref 1,Ref 2,Ref 3,Ref 4,SecureDWDbinary?,Comment,
WD0136+768     ,01 41 21.60,+77 09 00.7,1.407221,2026.39824,0.000009,,Y,N,,14.9,74.7,67.4,0.8,84.8,1.8,0.47,,0.37,,0.84,0,2002MNRAS.332..745M,,,,Y,,
L870-2,01 37 59.34,-04 59 44.3,1.55578,2240.3232,0.00045,,Y,N,,12.7,12.6,77.6,2.3,,,0.47,0.05,0.52,0.05,0.99,0.071,1988ApJ...334..947S,1989ApJ...345L..91B,,,Y,In SPY    WD 0135-052. Closest SB2 WD known. First discovered SB2 white dwarf system. Very high pm (800mas/yr),
EGGR 561,00 40 22.88,-00 21 30.1,,,,,Y,?,,14.8,54.8,,,,,0.505,,,,0.505,0,2020A&A...638A.131N,,,,Y,In SPY. WD0037-006,
SDSS J1337+3952,13 37 25.26,+39 52 37.63,0.06875,99,,,Y,N,D,16.6,113.6,100,4,168,3,0.51,0.01,0.32,0.01,0.83,0.014,2021ApJ...921..160C,,,,Y,SDSS Chandra,
HE0410-1137,04 12 29.02,-11 30 05.9,0.5087,732.528,0.0003,,Y,N,,15.9,105.3,,,,,0.51,0.04,0.39,0.03,0.9,0.05,2017MNRAS.466.1575R,,,,Y,In SPY.       GD 57,
HE1414-0848    ,14 16 51.96,-09 02 02.7,0.51781,745.6464,0.00001,,Y,N,,15.9,81.1,,,,,0.52,,0.74,,1.26,0,Napiwotzki et al 2002,,,,Y,In SPY,
WD1349+144     ,13 51 53.92,+14 09 45.4,2.2094,3181.536,0.0001,,Y,N,,15.2,115.7,74.5,,,,0.53,,0.33,,0.86,0,2003whdw.conf...43K,2005A&A...440.1087N,,,Y,In SPY,
HE0225-1912,02 27 41.43,-18 59 24.5,0.22,316.8,,,Y,?,,16,155.0,,,,,0.55,,0.23,,0.78,0,2020A&A...638A.131N,,,,Y,In SPY. WD0225-192,
WD1242-105,12 44 52.66,-10 51 08.7,0.118765,171.0216,,,Y,?,,14.6,40.3,124,1.2,178,1.4,0.56,0.03,0.39,0.02,0.95,0.036,2015AJ....149..176D,,,,Y,,
HE2209-1444    ,22 12 17.96,-14 29 46.0,0.276928,398.77632,0.000006,,Y,N,,15,38.0,,,,,0.58,0.03,0.58,0.08,1.16,0.085,2003A&A...410..663K,,,,Y,In SPY,
WD0028-474     ,00 30 47.17,-47 12 36.4,0.389575,560.988,0.0003,,Y,N,,15.2,96.5,,,,,0.6,0.06,0.45,0.04,1.05,0.072,2017MNRAS.466.1575R,,,,Y,In SPY,
HS2215+1551,22 18 57.16,+16 06 57.4,,,,,Y,?,,16,130.5,,,,,0.64,,,,0.64,0,2020A&A...638A.131N,,,,Y,In SPY,
HS0237+1034,02 40 35.57,+10 47 01.5,,,,,Y,?,,16.5,112.9,,,,,0.67,,,,0.67,0,2020A&A...638A.131N,,,,Y,In SPY,
WD2020-425     ,20 23 59.51,-42 24 25.8,0.3,432,0.02,,Y,?,,14.8,98.8,,,,,0.81,,0.54,,1.35,0,2007ASPC..372..387N,2009A&A...505..441K,,,Y,In SPY. High mass.,
NLTT 16249,06 13 46.625,+20 50 28.28,1.161,1671.84,0.026,,Y,?,,15.8,60.0,104.6,3.7,97.4,5.1,0.83,0.1,,,0.83,0.1,2012ApJ...745L..12V,2012ApJ...756L...5V,,,Y,DA+DQ,
NLTT 12758,04 12 26.33,-11 17 47.28,1.15401,1661.7744,0.00005,,Y,?,,15.4,32.6,81.9,17.3,89.7,3.8,0.83,0.03,0.69,0.05,1.52,0.058,2017MNRAS.466.1127K,see also 2022MNRAS.513.3090S,,,Y,strong magnetic field for 1 WD. Only compact DWD to have a magnetic field,
WD0128-387,01 30 27.9,-38 30 39.0,,,,,Y,?,,15.2,53.8,,,,,0.854,,,,0.854,0,1994ApJ...429..369W,2020A&A...638A.131N,,,Y,"In SPY, DAB but no obvious RV change",
MCT0136-2010,01 38 32.01,-19 54 46.6,,,,,Y,?,,15.5,24.4,,,,,0.86,,,,0.86,0,2020A&A...638A.131N,,,,N,In SPY,
GD 69,05 36 20.21,+41 29 55.62,,,,,Y,?,,14.6,32.1,,,,,,,,,0,0,2003ApJ...596..477Z,,,,Y,Quoted in paper as double Hbeta cores,
